scientificName,decimalLongitude,decimalLatitude
Desmophyllum pertusum,-88.33332,29.16691
Desmophyllum pertusum,-15.14999962,56.15999985
Desmophyllum pertusum,11.06000042,59
Desmophyllum pertusum,3.480000019,62.52999878
Desmophyllum dianthus,15.60999966,36.56999969
Desmophyllum pertusum,-12.69999981,30.17000008
Desmophyllum pertusum,14.44715838,68.90665893
Desmophyllum pertusum,-5,46
Desmophyllum pertusum,8.045000076,64.08999634
Desmophyllum dianthus,168.01,-37.336667
Desmophyllum pertusum,16.15999985,69.70999908
Desmophyllum pertusum,-9.210000038,37.31000137
Desmophyllum,-125.21119,48.15756
Desmophyllum pertusum,-79.12662,31.7048
Desmophyllum dianthus,167.8600006,-44.63000107
Desmophyllum dianthus,-11.86999989,51.31999969
Desmophyllum pertusum,-79.62279,28.79324
Desmophyllum pertusum,-12.93000031,60.34999847
Desmophyllum pertusum,7.8272,64.1388
Desmophyllum pertusum,7.329999924,65.44999695
Desmophyllum pertusum,5.739999771,63.70999908
Desmophyllum pertusum,-79.62177,28.79189
Desmophyllum pertusum,-81.79171,24.25274
Desmophyllum dianthus,165.316667,-35.433333
Desmophyllum dianthus,-89.8133316,-1.311939955
Desmophyllum dianthus,-117.41484,32.64218
Desmophyllum pertusum,-79.61458,28.04105
Desmophyllum dianthus,-72.59999847,-42.54999924
Desmophyllum pertusum,6.590000153,64.61000061
Desmophyllum dianthus,161.978,-51.061
Desmophyllum pertusum,-79.61261,28.03695
Desmophyllum pertusum,-119.47262,33.9196
Desmophyllum dianthus,-29.75,37.90000153
Desmophyllum pertusum,14.4476663,68.90609722
Desmophyllum pertusum,5.940000057,62.81000137
Desmophyllum pertusum,14.38867019,68.94558627
Desmophyllum pertusum,6.800000191,65.05999756
Desmophyllum pertusum,7.657675478,65.71922225
Desmophyllum,-125.0129,48.2569
Desmophyllum dianthus,162.0099945,-51
Desmophyllum,-125.17774,48.14431
Desmophyllum pertusum,-8.859999657,61.38000107
Desmophyllum pertusum,-8.579999924,61.5
Desmophyllum,-125.09781,48.10657
Desmophyllum dianthus,-73.68332672,-51.8666687
Desmophyllum pertusum,-79.61432,28.285
Desmophyllum dianthus,-117.41394,32.64673
Desmophyllum dianthus,176.4700012,-37.36000061
Desmophyllum dianthus,-117.98653,32.65264
Desmophyllum pertusum,6.25,63.90000153
Desmophyllum pertusum,14.39808853,68.92809291
Desmophyllum pertusum,-7,47
Desmophyllum dianthus,169.7048333,-43.29183333
Desmophyllum dianthus,-2.900000095,36
Desmophyllum dianthus,-167.15517,24.52448
Desmophyllum dianthus,-119.47675,33.91866
Desmophyllum pertusum,-16.06999969,55.43999863
Desmophyllum pertusum,-79.76029,28.31954
Desmophyllum pertusum,5.1533,63.01
Desmophyllum pertusum,6.329999924,-26.14999962
Desmophyllum dianthus,-129.8000031,-54.83000183
Desmophyllum pertusum,-6.849999905,36.02999878
Desmophyllum pertusum,-84.72797,26.20736
Desmophyllum pertusum,-4,46
Desmophyllum dianthus,175.4830017,-41.70000076
Desmophyllum dianthus,-79.51999664,25.68000031
Desmophyllum,171.6011658,-45.18416595
Desmophyllum,-125.01345,48.25691
Desmophyllum dianthus,-72.91999817,-43.77999878
Desmophyllum pertusum,-16.06999969,55.43999863
Desmophyllum pertusum,7.889999866,63.93000031
Desmophyllum pertusum,7.638500128,65.70337625
Desmophyllum pertusum,-84.7051,26.17965
Desmophyllum dianthus,-127.7933273,32.43333054
Desmophyllum pertusum,6.840000153,62.90000153
Desmophyllum dianthus,175.3300018,-43.86000061
Desmophyllum pertusum,7.78000021,66.75
Desmophyllum dianthus,166.8899994,-45.65000153
Desmophyllum pertusum,-6,47
Desmophyllum dianthus,-176.6542,-44.70067
Desmophyllum pertusum,11.1167,59.0183
Desmophyllum dianthus,-119.48353,33.91892
Desmophyllum,-125.01296,48.25834
Desmophyllum dianthus,-118.40846,32.7244
Desmophyllum pertusum,-61.08000183,38.15000153
Desmophyllum dianthus,-90.12000275,-0.550000012
Desmophyllum dianthus,-73.63970184,-43.18230057
Desmophyllum pertusum,5.71999979,63.50999832
Desmophyllum pertusum,-119.13907,33.70949
Desmophyllum pertusum,-17.52000046,56.68999863
Desmophyllum,-125.17723,48.14404
Desmophyllum dianthus,164.5,-49.01699829
Desmophyllum pertusum,-79.62822,28.4632
Desmophyllum pertusum,8.1145,64.1088
Desmophyllum pertusum,-79.61512,28.0414
Desmophyllum pertusum,-14.98999977,56.56000137
Desmophyllum dianthus,167.2833333,-15.13333333
Desmophyllum pertusum,-67.68000031,40.34999847
Desmophyllum dianthus,-79.6166687,26.375
Desmophyllum dianthus,-168.1100006,-38.45000076
Desmophyllum dianthus,-29.26000023,60.08000183
Desmophyllum pertusum,-12.5666666,60.46666718
Desmophyllum pertusum,-84.72823,26.20751
Desmophyllum pertusum,-17.5,14.5
Desmophyllum dianthus,-31.20000076,39.40000153
Desmophyllum pertusum,6.450787,65.846899
Desmophyllum dianthus,172.6999969,-30.48999977
Desmophyllum dianthus,-179.3300018,-48.15999985
Desmophyllum pertusum,5.329999924,63.22000122
Desmophyllum pertusum,-13.36999989,57.41999817
Desmophyllum pertusum,0.100000001,61.86500168
Desmophyllum pertusum,14.38618013,68.91281024
Desmophyllum dianthus,-5.880000114,45.63000107
Desmophyllum pertusum,-79.73000336,30.43000031
Desmophyllum dianthus,-117.98652,32.65264
Desmophyllum pertusum,6.274599606,65.80037794
Desmophyllum pertusum,-8,48
Desmophyllum dianthus,-73.76670074,-52.75830078
Desmophyllum pertusum,-11.72000027,51.49000168
Desmophyllum pertusum,-79.61596,28.77703
Desmophyllum pertusum,9.374,65.1142
Desmophyllum pertusum,-79.58999634,27.20999908
Desmophyllum pertusum,-11.77000046,51.41999817
Desmophyllum pertusum,-79.76644,28.38887
Desmophyllum pertusum,14.3343527,68.9352332
Desmophyllum pertusum,-79.61533,28.04074
Desmophyllum pertusum,-15.52999973,55.61000061
Desmophyllum dianthus,173.563293,-42.553299
Desmophyllum dianthus,-119.47267,33.91944
Desmophyllum pertusum,-26.79999924,38.11000061
Desmophyllum pertusum,22.4757,70.2688
Desmophyllum dianthus,-11.77999973,51.43000031
Desmophyllum dianthus,151.4299927,-34.29999924
Desmophyllum dianthus,-174.5553333,-44.15783333
Desmophyllum pertusum,-79.6217,28.79204
Desmophyllum pertusum,6.5967,64.6153
Desmophyllum pertusum,-84.57892,25.63464
Desmophyllum pertusum,-79.75104,28.32223
Desmophyllum pertusum,-79.03,31.73
Desmophyllum pertusum,-8.659999847,61
Desmophyllum pertusum,-7.139999866,35.50999832
Desmophyllum pertusum,9.079999924,67.37000275
Desmophyllum pertusum,5.78000021,64.51000214
Desmophyllum pertusum,7.909999847,64.18000031
Desmophyllum pertusum,-22.90999985,15.89999962
Desmophyllum pertusum,-93.5854,27.42731
Desmophyllum,-125.17723,48.14404
Desmophyllum dianthus,-11.30000019,50.70000076
Desmophyllum pertusum,-121.96737,36.83278
Desmophyllum pertusum,5.1,60.4075
Desmophyllum dianthus,175.447998,-28.14550018
Desmophyllum,148.7510071,-47.38399887
Desmophyllum pertusum,14.43923536,68.90423139
Desmophyllum pertusum,10.7875,59.1134
Desmophyllum pertusum,-88.37972,29.07373
Desmophyllum pertusum,-14.48999977,57.61000061
Desmophyllum pertusum,5.539999962,59.59000015
Desmophyllum pertusum,-79.75109,28.32214
Desmophyllum pertusum,-12.63000011,60.72999954
Desmophyllum,-125.09731,48.10394
Desmophyllum,-125.09719,48.10576
Desmophyllum dianthus,177.843,-35.88566667
Desmophyllum dianthus,131.0599976,-34.86000061
Desmophyllum pertusum,77.58999634,-38.81000137
Desmophyllum,-177.4218292,-42.8291664
Desmophyllum pertusum,6.699999809,62.95999908
Desmophyllum dianthus,149.833,-39.15
Desmophyllum pertusum,4.95,62.75
Desmophyllum pertusum,6.420000076,64.90000153
Desmophyllum pertusum,-119.13867,33.70941
Desmophyllum,-125.17789,48.14322
Desmophyllum pertusum,9.792325,63.659588
Desmophyllum dianthus,-119.61669,33.04899
Desmophyllum pertusum,9.426197,67.425976
Desmophyllum pertusum,11.11999989,66.95999908
Desmophyllum dianthus,158.4799957,-59.31000137
Desmophyllum pertusum,7.949999809,65.75
Desmophyllum pertusum,-84.7595,26.33483
Desmophyllum pertusum,-26.82999992,38.51499939
Desmophyllum,-125.01318,48.25793
Desmophyllum pertusum,5.468433333,59.94186667
Desmophyllum pertusum,-10.46000004,60.43000031
Desmophyllum,-124.99442,48.1578
Desmophyllum pertusum,-88.01633,29.15636
Desmophyllum dianthus,167.6799927,-32.34999847
Desmophyllum pertusum,-79.66038,30.51484
Desmophyllum dianthus,167.8200073,-44.59999847
Desmophyllum dianthus,-119.48823,33.92193
Desmophyllum pertusum,8.0657,64.0918
Desmophyllum pertusum,5.25,63.22000122
Desmophyllum dianthus,173.8800049,-43.06999969
Desmophyllum pertusum,14.39614576,68.91717476
Desmophyllum pertusum,-9.880000114,60.81000137
Desmophyllum dianthus,170.9100037,-33.63000107
Desmophyllum pertusum,7.9378,64.0467
Desmophyllum pertusum,5.7325,60.6543
Desmophyllum pertusum,8.579999924,67.01000214
Desmophyllum dianthus,-28.167,38.317
Desmophyllum pertusum,6.610000134,64.61000061
Desmophyllum,-125.1777,48.14409
Desmophyllum dianthus,-73.0261,38.4886
Desmophyllum,-125.09705,48.1072
Desmophyllum dianthus,179.4313333,-34.7576667
Desmophyllum pertusum,-79.33332825,27.05500031
Desmophyllum pertusum,-79.61391,28.03963
Desmophyllum pertusum,8.159999847,64.12999725
Desmophyllum pertusum,-79.75164,28.32067
Desmophyllum pertusum,-16.03000069,25.52000046
Desmophyllum pertusum,9.949999809,63.47999954
Desmophyllum,-125.09779,48.105
Desmophyllum dianthus,-72.675,38.7625
Desmophyllum,-125.17766,48.14434
Desmophyllum pertusum,-13.28999996,57.5
Desmophyllum pertusum,-88.01643,29.15613
Desmophyllum pertusum,9.510000229,63.61000061
