Crane,Time,X,Y
100840,10/16/13 19:17,806.0664534,-1815.683659
100840,10/17/13 01:17,806.0664534,-1815.683659
100840,10/17/13 07:16,813.6554314,-1811.167463
100840,10/17/13 13:15,816.5244191,-1847.578004
100840,10/17/13 19:13,816.2218312,-1849.846209
100840,10/18/13 01:12,816.2135989,-1849.858284
100840,10/18/13 07:12,816.2580568,-1849.831073
100840,10/18/13 13:11,813.8298316,-1849.503841
100840,10/18/13 19:10,816.2350183,-1849.978873
100840,10/19/13 01:09,816.2432507,-1849.966798
100840,10/19/13 07:10,816.2092222,-1850.004044
100840,10/19/13 13:06,814.4484689,-1848.609422
100840,10/19/13 19:05,816.3014153,-1849.792807
100840,10/20/13 01:05,816.2613538,-1849.864239
100840,10/20/13 07:04,816.2531216,-1849.876315
100840,10/20/13 19:01,816.1949366,-1849.860324
100840,10/21/13 01:00,816.3080096,-1849.859139
100840,10/21/13 06:59,816.2986785,-1849.860159
100840,10/21/13 18:56,814.5159179,-1849.384327
100840,10/22/13 06:54,814.5230549,-1849.361198
100840,10/22/13 12:52,812.9333172,-1848.260519
100840,10/22/13 18:52,816.154333,-1850.021219
100843,9/1/13 05:51,-2560.813285,2983.64073
100843,9/1/13 11:51,-2561.654088,2982.813372
100843,9/1/13 17:51,-2561.234571,2982.567478
100843,9/1/13 23:49,-2560.829632,2983.084269
100843,9/2/13 05:47,-2560.833038,2983.649954
100843,9/2/13 11:47,-2561.580244,2983.098495
100843,9/2/13 17:45,-2561.064092,2983.21318
100843,9/2/13 23:45,-2561.791473,2982.652413
100843,9/3/13 11:41,-2561.663274,2982.917714
100843,9/3/13 23:36,-2561.497675,2983.212787
100843,9/4/13 05:36,-2560.778517,2983.652284
100843,9/4/13 11:36,-2561.607818,2983.05301
100843,9/4/13 17:34,-2561.598483,2982.970832
100843,9/4/13 23:32,-2557.244213,2979.5929
100843,9/5/13 05:31,-2557.656598,2979.379262
100843,9/5/13 11:31,-2557.308456,2979.159253
100843,9/5/13 17:29,-2556.495981,2978.155002
100843,9/5/13 23:28,-2556.781063,2976.444965
100843,9/6/13 05:28,-2557.649229,2979.367511
100843,9/6/13 11:27,-2556.107446,2978.071907
100843,9/7/13 05:22,-2360.135894,2695.594017
100843,9/7/13 11:20,-2338.746015,2695.076373
100843,9/8/13 05:15,-2208.552476,2413.715603
100843,9/8/13 11:13,-2206.951879,2414.094036
100843,9/16/13 05:56,-746.9802848,899.1775446
100843,9/16/13 11:56,-653.6394692,807.5555151
100843,9/16/13 23:53,-607.6290299,707.2227205
100843,9/19/13 22:45,112.8407862,7.662380468
100843,9/20/13 04:44,112.8978337,7.61911416
100843,9/20/13 10:44,104.4589797,9.489092918
100843,9/20/13 16:43,112.7035112,7.525845878
100843,9/20/13 22:42,112.8775347,7.585286075
100843,9/21/13 04:41,112.8775347,7.585286075
100843,9/21/13 22:34,113.2563529,7.259731229
100843,9/22/13 04:34,113.2561091,7.270854071
100843,9/22/13 16:31,107.9434735,7.112616499
100843,9/23/13 04:26,112.7377663,8.205411622
100843,9/23/13 10:26,113.9750999,8.377232701
100843,9/23/13 16:25,112.9754695,7.275837933
100843,9/24/13 04:21,112.8772916,7.596408936
100843,9/24/13 10:19,108.2580066,3.814218392
100843,9/25/13 10:13,113.20037,3.730880296
100843,9/25/13 22:10,113.4850432,3.870657854
100843,9/26/13 04:09,113.3207838,4.000592876
100843,9/26/13 16:06,102.7431526,2.3552662
100843,9/26/13 22:05,102.163193,2.2213764
100843,9/27/13 16:01,101.9320583,0.770245822
100843,9/27/13 21:59,102.1629733,2.232499554
100843,9/28/13 03:58,102.1699901,2.232638143
100843,9/28/13 09:58,103.094346,2.696080364
100843,9/28/13 15:55,102.0024648,0.760505789
100843,9/28/13 21:55,98.45689596,2.96179719
100843,9/29/13 03:53,98.50727745,2.895992641
100843,9/29/13 09:53,103.3155284,2.867407308
100843,9/29/13 15:51,108.1509264,3.901000313
100843,9/29/13 21:49,114.0083344,4.327296332
100843,9/30/13 09:47,111.8947018,4.069687028
100843,9/30/13 15:46,114.9251089,0.964621811
100843,9/30/13 21:43,114.0144666,4.049227218
100843,10/1/13 03:42,114.057043,4.027909906
100843,10/1/13 09:42,111.7607782,15.42863086
100843,10/1/13 09:42,112.0076527,4.038748493
100843,10/1/13 15:40,115.035426,1.056098641
100843,10/1/13 21:38,114.6891356,4.954405979
100843,10/2/13 03:35,114.6961487,4.954561577
100843,10/2/13 09:34,113.7459645,3.17531791
100843,10/2/13 15:35,115.1395512,1.42564475
100843,10/3/13 15:26,110.5162364,-0.38887777
100843,10/3/13 21:23,110.408085,-0.257651284
100843,10/4/13 09:21,111.5656824,-0.199444023
100843,10/4/13 15:19,110.6036975,-0.208963183
100843,10/5/13 09:12,111.9499025,0.220587681
100843,10/5/13 15:10,113.9302953,4.047371829
100843,10/6/13 15:02,113.9240163,4.013848979
100843,10/6/13 21:02,114.1586,4.831380605
100843,10/7/13 08:59,114.3294975,4.401157587
100843,10/7/13 08:59,114.3294975,4.401157587
100843,10/7/13 14:56,114.2128533,4.598886878
100843,10/8/13 02:52,114.2318123,5.011049077
100843,10/8/13 08:51,114.4927855,4.315745469
100843,10/8/13 14:51,114.4041878,4.514091832
100843,10/8/13 20:49,114.1846872,4.920982328
100843,10/9/13 02:49,114.1948947,4.776541254
100843,10/9/13 08:48,114.4857716,4.31559015
100843,10/9/13 14:46,140.0919273,-71.49981385
100843,10/9/13 20:47,126.4168585,-64.55752686
100843,10/10/13 02:45,126.5084497,-64.52193946
100843,10/10/13 08:44,116.8556771,-50.94779381
100843,10/10/13 14:44,114.0173235,-47.61656419
100843,10/10/13 20:41,110.1538633,-52.98460476
100843,10/11/13 02:40,110.1682796,-52.99542857
100843,10/11/13 08:39,112.0109203,-53.5683481
100843,10/11/13 20:36,409.6787868,-599.8281318
100843,10/12/13 08:33,409.9293069,-600.1674628
100843,10/12/13 20:28,520.8603728,-865.688798
100843,10/13/13 02:27,520.455001,-866.057344
100843,10/13/13 08:27,521.6409039,-868.7699007
100843,10/13/13 20:22,547.9691151,-876.9722201
100843,10/14/13 02:21,547.9908156,-876.9368328
100843,10/14/13 08:20,547.9227009,-876.9093178
100843,10/14/13 14:20,548.0022679,-876.7795645
100843,10/14/13 20:18,547.881876,-876.9128957
100843,10/15/13 02:17,547.9317974,-876.9196822
100843,10/16/13 02:11,546.1192046,-1660.66252
100843,10/16/13 08:10,546.439749,-1660.003576
100843,10/17/13 02:04,672.1828226,-1857.930458
100843,10/17/13 08:05,661.4549679,-1851.596976
100843,10/17/13 20:01,508.1730094,-2011.951967
100843,10/19/13 01:55,317.1289684,-2263.180856
100843,10/19/13 07:54,285.4243318,-2284.402645
100843,10/19/13 19:52,218.875555,-2393.737971
100843,10/20/13 01:50,219.1280674,-2393.487225
100843,10/20/13 07:50,216.787204,-2391.165577
100843,10/20/13 13:48,214.7066844,-2390.58854
100843,10/20/13 19:46,216.2880204,-2392.764599
100843,10/21/13 01:45,216.2976942,-2392.753253
100843,10/21/13 13:42,214.6674753,-2390.611751
100843,10/22/13 01:40,216.5758077,-2394.863921
100843,10/22/13 07:36,216.2968243,-2389.74808
100843,10/22/13 13:36,215.0656405,-2391.067006
100843,10/22/13 19:34,218.8366047,-2393.772284
100845,9/1/13 03:32,-2100.223756,2525.742656
100845,9/1/13 21:26,-2099.435565,2524.693054
100845,9/2/13 03:26,-2103.428534,2527.532888
100845,9/2/13 15:23,-2113.676884,2545.603368
100845,9/2/13 21:22,-2113.774698,2545.355055
100845,9/3/13 03:21,-2113.328886,2546.541028
100845,9/5/13 21:28,-2100.408437,2525.825795
100845,9/6/13 03:26,-2100.223756,2525.742656
100845,9/6/13 09:25,-2099.55761,2524.698412
100845,9/6/13 15:25,-2100.312875,2525.781065
100845,9/9/13 00:57,-2101.14642,2526.076184
100845,9/9/13 06:56,-2101.149641,2526.079344
100845,9/9/13 12:57,-2100.249685,2524.528136
100845,9/9/13 18:55,-2099.475689,2524.748659
100845,9/10/13 00:55,-2102.559849,2527.055227
100845,9/10/13 06:51,-2097.650908,2531.756819
100845,9/10/13 12:51,-2099.757685,2524.714961
100845,9/10/13 18:50,-2100.166647,2524.52835
100845,9/11/13 00:48,-2101.14821,2526.061617
100845,9/11/13 06:48,-2101.14463,2526.090752
100845,9/16/13 18:15,-2104.736151,2527.527297
100845,9/17/13 00:13,-2101.791747,2525.876713
100845,9/28/13 16:00,85.30381439,-23.06303559
100845,9/29/13 03:54,86.52040247,-24.12219857
100845,9/29/13 09:54,84.9526642,-22.28994406
100845,9/29/13 15:52,85.55692018,-23.01437512
100845,9/30/13 03:48,86.10749945,-23.89539456
100845,9/30/13 15:45,85.33804284,-22.13899558
100845,10/3/13 09:26,85.56601125,-22.27989253
100845,10/3/13 21:21,86.54562425,-24.36655722
100845,10/4/13 03:21,86.58088817,-24.36597077
100845,10/4/13 09:21,85.36697127,-22.183026
100845,10/4/13 15:17,85.55242684,-23.1702165
100845,10/5/13 03:14,86.6090993,-24.36550143
100845,10/5/13 09:14,84.91707455,-22.70219575
100845,10/5/13 15:12,88.82057491,-26.63138823
100845,10/5/13 21:12,88.807221,-26.67612127
100845,10/6/13 03:12,88.81408745,-26.66487785
100845,10/6/13 09:10,88.8758799,-24.49418553
100845,10/6/13 15:09,88.78378042,-26.54300502
100845,10/6/13 21:08,83.28757694,-24.44196147
100845,10/7/13 03:08,83.25954312,-24.45353609
100845,10/7/13 15:06,89.47867697,-26.73138617
100845,10/7/13 21:04,90.25598947,-26.78473138
100845,10/8/13 03:01,90.19229256,-26.77470849
100845,10/8/13 09:00,89.54763031,-24.58281008
100845,10/8/13 14:59,88.77459267,-26.8324461
100845,10/9/13 02:56,88.82857823,-26.68688337
100845,10/9/13 20:51,95.25194637,-189.1561029
100845,10/10/13 02:50,95.1953058,-189.2460898
100845,10/10/13 08:50,98.64896466,-186.6813136
100845,10/11/13 02:43,231.7172861,-415.203244
100845,10/11/13 08:43,232.3231655,-416.6920373
100845,10/11/13 14:43,438.7124959,-770.0292501
100845,10/11/13 20:40,570.4417681,-1041.836971
100845,10/12/13 02:39,569.5860916,-1042.593259
100845,10/12/13 08:39,569.6819088,-1042.12726
100845,10/13/13 02:33,533.3758112,-1138.487262
100845,10/13/13 08:33,535.5221015,-1137.075146
100845,10/13/13 20:29,533.3774908,-1138.397927
100845,10/14/13 02:28,533.4089176,-1138.473427
100845,10/19/13 15:10,532.6075997,-1941.098532
100845,10/19/13 21:10,528.8164362,-1931.818413
100845,10/19/13 21:10,528.8164362,-1931.818413
100845,10/20/13 03:09,528.4417692,-1931.432938
100845,10/20/13 15:05,526.6589743,-1943.549903
100845,10/20/13 21:04,527.5953357,-1928.677282
100845,10/21/13 03:04,527.2505783,-1928.612312
